ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-2DROB-6799/DROBKT/05-048/2074/075,Patch works in Chymasingh-Amadol-Nala-Banepa and Jagati- Chyamasing- Kamalbinayak Road.  ,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,245
ocds-rw2stw-2DROB-6775/DROBKT/05-032/2074/075, Drain & Blacktop works in Gwarko Panauti Dadapari Sadak Kavre.  ,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,251
ocds-rw2stw-2DROB-6791/DROBKT/05-041/2074/075,"Recurrent maintenance works in Gatthaghar thimi,Lokanthali-Darmeswor-Tikathali,Sinamangal-Manohara-Thimi-Sallaghari and thimi karki gaun  ",204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Other/Uncategorized,256
ocds-rw2stw-2DROB-6864/DROBKT/05-0045/2074/075,Blacktop works in Gwarko Panauti DSRM Road Bhaktapur.,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,270
ocds-rw2stw-WSASDOB-5697/01/074-075/WSSDO BKT,Construction of 225 CUM Overhead Tank of Sim WSP Dadhikot-1 Biruwa,"Water Supply and Sanitation Division Office, Bhaktapur",,,,2018-01-29 00:00:00+05:45,Bhaktapur,Other/Uncategorized,4738
ocds-rw2stw-WSASDOB-5694/02/074-075/WSSDO BKT,Construction of 225 CUM RCC Overhead Tank of Saraswotikhel WS Project,"Water Supply and Sanitation Division Office, Bhaktapur",,,,2018-01-29 00:00:00+05:45,Bhaktapur,Other/Uncategorized,4749
ocds-rw2stw-2DROB-2137/DROBKT/04-0029/074/075," Periodic Maintenance Works in Lamidanda Palanchowk (0+000 to 8+200),Kavre   ",204 Division Road Office Bhaktapur,,2018-03-14T14:21:54+05:45,,2017-12-26 20:00:00+05:45,Bhaktapur,Other/Uncategorized,221
ocds-rw2stw-2DROB-4529/DROBKT/04-030/074/075,Recurrent Maintenance works of suryabinayak-Sanga-Dhulikhel(13+000 to 30+000).,204 Division Road Office Bhaktapur,,2018-03-14T14:19:37+05:45,,2017-12-26 20:00:00+05:45,Bhaktapur,Other/Uncategorized,235
ocds-rw2stw-2DROB-2136/DROBKT/04-0028/074/075," Periodic Maintenance Works in Sallaghari-Duwakot, Bhaktapur  ",204 Division Road Office Bhaktapur,,2018-03-14T14:20:35+05:45,,2017-12-26 20:00:00+05:45,Bhaktapur,Other/Uncategorized,244
ocds-rw2stw-2DROB-4530/DROBKT/04-031/074/075,Construction of side drain works in Banepa-Panauti Road.,204 Division Road Office Bhaktapur,,2018-03-14T14:17:58+05:45,,2017-12-26 20:00:00+05:45,Bhaktapur,Roads/Drainage,272
ocds-rw2stw-DTODB-3589/Reconstruction and Rehabilitation of  Palanse Doleshwor  Road (Ch. 00+000 to Ch.3+553.37 km),Reconstruction and Rehabilitation of Palase - Doleswor - Road under Bhaktapur Chakrapath Road,"District Technical Office (DTO), Bhaktapur ",,,,2017-11-29 10:00:00+05:45,Bhaktapur,Roads/Drainage,2205
ocds-rw2stw-DTODB-2795/RRRSDP/BKT/RR/NCB/01/074/75       ,Reconstruction and Rehabilitation of Gosapul - Bidol Phat - Sudal - Kalamasi Nagarkot Road  (Ch. 00+320 to Ch.7+640)  ,"District Technical Office (DTO), Bhaktapur ",,,,2017-11-01 01:00:00+05:45,Bhaktapur,Roads/Drainage,2216
ocds-rw2stw-2DROB-2122/DROBKT/03-020/074/075, Specific Works in Byasi-Changunarayan Road Bhaktapur  ,204 Division Road Office Bhaktapur,,,,2017-09-26 17:00:00+05:45,Bhaktapur,Roads/Drainage,199
ocds-rw2stw-2DROB-2127/DROBKT/03-022/074/075," Specific Works in Gwarko- Panauti- DSRM Road,Kavre  ",204 Division Road Office Bhaktapur,,,,2017-09-26 17:00:00+05:45,Bhaktapur,Roads/Drainage,215
ocds-rw2stw-2DROB-2126/DROBKT/03-021/074/075," Specific works in Kamalbinayak-Sudal-Adhikari Gaun-Nagarkot, Chymasingh-Amadol Road , Bhaktapur  ",204 Division Road Office Bhaktapur,,,,2017-09-26 17:00:00+05:45,Bhaktapur,Roads/Drainage,216
ocds-rw2stw-2DROB-2128/DROBKT/03-023/074/075," Specific Maintenance works in Lamidanda- Dolalghat (Km 56+000) ARM, Kavre   ",204 Division Road Office Bhaktapur,,,,2017-09-26 17:00:00+05:45,Bhaktapur,Other/Uncategorized,229
ocds-rw2stw-2DROB-2132/DROBKT/03-026/074/075," Specific Works in Phuyalgaun-Changunarayan-Phedigaun, Bhaktapur  ",204 Division Road Office Bhaktapur,,,,2017-09-26 16:00:00+05:45,Bhaktapur,Other/Uncategorized,238
ocds-rw2stw-2DROB-2134/DROBKT/03-027/074/075," Periodic Maintenance Works in Bhaktapur Hospital-Byasi, Bhaktapur.  ",204 Division Road Office Bhaktapur,,,,2017-09-26 16:00:00+05:45,Bhaktapur,Buildings/Facilities,239
ocds-rw2stw-2DROB-2129/DROBKT/03-024/074/075,"  Specific Works in Lokanthali- Dharmeshwor- Tikathali Road, Bhaktapur.  ",204 Division Road Office Bhaktapur,,,,2017-09-26 14:00:00+05:45,Bhaktapur,Roads/Drainage,233
ocds-rw2stw-2DROB-2130/DROBKT/03-025/074/075," Specific Works in ARM (Hanumante Culvert- Sanga) Ch 19+700- 20+000,Bhaktapur  ",204 Division Road Office Bhaktapur,,,,2017-09-26 14:00:00+05:45,Bhaktapur,Roads/Drainage,240
ocds-rw2stw-2DROB-1609/DROBKT/02-014/074/075,"Drain ,Gravel works, Protection works, cross hump pipe and Earthworks of Ratmate Kaleshwor Dhunkhark Khopasi Panauti Road Kavre.  ",204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,200
ocds-rw2stw-2DROB-1608/DROBKT/02-013/074/075,"Masonary,Gravelling and Road way  Works of Changunarayan- Duwakot- Khadkadil- Ringroad- Saraswotikhel Road, Bhaktapur.  ",204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,207
ocds-rw2stw-2DROB-1611/DROBKT/02-016/074/075,"Structural ,Blacktop & Earthworks of Gwarko Panauti Dadapari Sadak Kavre  ",204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,208
ocds-rw2stw-2DROB-1612/DROBKT/02-017/074/075, Road Upgrading Works of Panchkhal palanchowk Bhagawati Road (F071) Kavre  ,204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,212
